raw text,text_length,source
"Foarte bun Ionuț Rusu👍👍👍
Bucurăi și înveseleștei atât pe cei cu mintea în ceață cât și pe cei cu fruntea creață🍀🤑🤓😎",115,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Mare actor! Măcar ne mai relaxăm cu momente vesele!,51,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"Chiar e talentat Ionut Rusu, mai talentat decat Bendeac",55,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"Daaaa! 
Ne-am tavalit pe jos de râs!
Asta-i din ciclul: ""țara arde de necaz, iar babă se piaptănă și face haz""!
Chiar și asa, artistul în cauza a avut și momente mai bune.  Azi a fost cam răsuflat.",197,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"Dacă românia tv si antena 3 nu dispar,  nu trecem peste nimic in plm de mafioți 😰",81,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"Super tare Ionuț, bun actor, rad la fiecare apariție a ta.",58,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Genial Ionuț Rusu...🤣🤣🤣,23,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"Bun actor sa ne Mai descretim fruntile si sa facem haz de necaz ,bravo !",72,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Sosoaca genial 🤣🤣🤣,18,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Actor bun si Badea Vasile 😂😂😂,29,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"Iliescu a fost tare, la Sosoaca mai ai de lucru!!",49,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Felicitări!!,12,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Super moment!👍👌Bravo!!👏🏻👏🏻👏🏻,28,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
2:55,4,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Nu ti-a iesit cu Sosoaca ! tov. Bravo!😂😂🤣,41,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Cel mai tare din România.,25,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Mihai Gâdea a fost surpriza acestui moment.,43,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Prea tare Ionuț rusu bravo ție,30,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Mihai Gadea mi-a pläcut mult cum l-ai imitat pe domnul   ?...ups...I-am uitat numele .,86,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Sincer Ionuț Rusu are potențial de mare actor,45,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
E genial omul asta!,19,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Bravo un băiat de nota zece Ionuț sa te tina ani tineri și fericiți și să nu uiți că noi te iubim,97,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Esti bestial omule...😂😂😂,24,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Mor de ras !!!:)))))))))))))),29,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"https://youtu.be/iQ_7DeuvGNM  dacă se poate v-aș ruga sa difuzați acest filmuleț cu precizarea ca în perioada ciumei când virusul era mortal cadavrele se incinerat, ptr ca un virus ptr cei care nu cunosc în cazul în care este mortal rezista și în pământ. Sa explice cineva dacă poate de ce   trebuie ca unii dintre noi trebuie sa suporte aceasta bătaie de joc",359,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Am râs cu lacrimi😹,18,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
🤣🤣🤣🤣,4,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
M.. E Sosoaca!!!,16,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
frumos  si  desi  are cap  de  tigae  :)),41,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Ionuț e genialll!,17,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Mortal brava,12,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"tareeeeeee )))))))))))))))))
EXCELENT BAIETI  )))))))))))))))))))))))))))))))))))))))))))))))",93,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
vaaaaiii....am ras cu lacrimi ...la gadea nu ma asteptam ....bravo amandurora...,80,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
🤣🤣🤣🤣,4,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
😂,1,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
SOSOACA este ca o bazdoaca.Cine este langa ea se ineaca......,61,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
😂😂😂😂😂,5,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
😂😂😂😂😂😂😂😂😂,9,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Felicitări și mulțumiri pentru că ne descrețesti frunțile.....!!! Ești adorabil. 👌🤗,83,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Sacou cu Trening 😂😂😂,20,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Diana Șoșoacă este imposibil de imitat,38,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Subțirel momentul.,18,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Santeti superbi,15,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Vai șamar,9,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Frumoșilor...,13,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
🤣🤣🤣👍👍👍,6,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Un băiat talentat.,18,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
😹😹😹,3,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
ĄRAHAT ESTE UN ƤOPONAR ĄBJECT,29,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
băăă v-ați inhăitat toti trei la o șuetă,40,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
De tot rasul suntem....,23,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
🥰🥰🥰😊😘😉,6,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
In viatã nu vei putea s-o imiti pe Danuta !,43,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Am ras la Iliescu =))))))),26,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
retrospectiva pandemiei pe 2020. cat de prost au gestionat autoritatile pandemia. RUSINOS! https://www.youtube.com/watch?v=cdwsRyA8m28&t=1105s,142,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Copii simpatici 😀😀😀,19,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
"PARODIE
      Aseara la emisiunea Sinteza zilei, a fost show de zile mari
    
       🍂 🍂 🍂 

                IONUT RUSU, unul dintre cei mai buni comedianti din Romania, a acceptat provocarea de a-i parodia pe cei mai cunoacuti ai momentului, la Antena 3.-

        🌟     Senatoarea Diana Sosoaca

    🌟   Dr. Raed Arafat 

           🌟   Domnul Klaus Iohannis
    🍩 

             🌟   👜   🌟 

        Dana Budeanu

             🌟   🎄🐑🐑🐑🐑🐑🎄💒🐑🐻🐑🎄

              🌟    Gigi Becali

          🌌 
   
    SHOW DE ZILE MARI

           Si Mihai Gadea a intrat in joc si i-a parodiat pe 

      🌟    🍩   🌟 

               Domnul Ion Iliescu

       🌟   📱   🌟 

                     💻    Ion Cristoiu
   jurnalist

               P a r o d i e
       V e s e l i e
                     B u c u r i e

          🌏",806,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Are mult talent domnul Ionuț Rusu ii imită aproape perfect pe politicenii importanți din România. 👍👍👍👏👏🙂😉,105,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
Pai nu-i iese Sosoaca pt.ca e departe de nivelul ei dar se vede bine că-i interpretează bine pe cei cu nivel apropiat de al sau...,130,https://www.youtube.com/watch?v=Tqmzv4eB_xk&ab_channel=SintezaZileicuMihaiGadea
