raw text,text_length,source
Ba ala din spate chiar seamana cu Ombladon :))),47,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
Ce palma de laba de urs i-a aplicat =))))))) Cre ca inca il doare,65,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
"Si de la asta au inceput diss-urile dintre Cheloo si Guess! :)) Bine Bendeac, ai dat startul.",93,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
E super tare Bendeac ... dar acest videoclip a exagerat ... parerea mea e ca trebuia sa nu se bage ..,101,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
"""Mega"" palma ce i-a dat :))",27,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
Povestea dintre Cheloo si Guess Who pe scurt.,45,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
Opriti-va! De prin 2005 este un conflict intre cei doi.  Multumiti-i lui Bendeac ca datorita lui avem parte de aceste diss-uri care dupa parerea mea sunt minunate si tre sa violam butonul de replay.,198,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
2019 careva? Ce amintiri frumoase 😂,35,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
oare a văzut cheloo asta ? cred ca s.a pisat pe el de ras,57,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
"Bendeac a Facut ,,razboiul"" ma rog la relansat",46,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
Mor de ras =)))))))))),22,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
Ăsta o să fie un episod foarte amuzant :))),43,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
genial 😂😂😂😂😂😂,13,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
Asa a hotarat Ombladon?,23,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
satra benz vs parazitii,23,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
"GG Bendeac, ai deschis noi orizonturi =))",41,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
Nu cred asa ceva :))))))))),27,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
"Nu mai e ""Guess Who"" e ""Guess Was""",34,https://www.youtube.com/watch?v=EISVJmz3UtE&ab_channel=MihaiBendeac
