raw text,text_length,source
Mâna de fier a României!!,25,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Deci frate nu mă așteptam ce brand are. Păi să ia aminte Câțu' și Barna (nu c-aș avea ceva cu ei) le dă clasă 
Să mai treacă pe la sală, astea 😊😊😊",146,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Un exemplu rau de urmat,23,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Vad că numai ăștia inteligenți și-au dat seama...ii baga aer in vene!!!  Asta era varianta logica și inofensivă. Evident!!🤦🤦🤦🤯🤯🤯,128,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Klaus e Kennedy...,18,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Arată ok umerii și tricepșii. 😀😀,32,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
1:23,4,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"De ce atîta mascaradă ? Nu vezi altceva la tv decît seringi ,vaccin și șpăgarii în alb !  Cine vrea să il facă cine nu , nu il face și gata !",141,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
De viermi s-a vaccinat.,23,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Si cu secretul medical cum ramîne ?,35,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Dupa mandat il ia Angelica bodyguard in Germania ! 
Sau poate sa vina si la mine ..ma sacrific !",96,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Maaaaama ce brat are Iohanis,28,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
daddy,5,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
A așteptat și el până când îi picau asistentele astea.,54,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Brandă pe el 😂😂,15,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Ce brand are 😂,14,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Mare lucru Iohanis ne arată cum ii este administrat ciclul de steroizi!,71,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Urmatoarea afacere care va exploda va fi ..... Pompe funebre!,61,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
L-au injectat cu vitamine 😂,27,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Un singur lucru nu ni s a aratat: seringa goala!!
Bine, si d ra a facut vaccinul cu seringa total acoperita de mânuța ei inmanuşată!! Poate de emotie ca l-a... înţepat pe dl presedinte😉",185,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"LIVE !!! ??? 

the HORSE IS READY to FLY ;)))
hahaha",52,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Zici ca sunteti la min 91 .Commenti meciul Steaua -Dinamo,57,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Iară ne-a prosit,16,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Bine boss... arme de oțel 💪💪💪💪,30,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Klaus Chiocaniss,16,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Oare cu ce s-o fi injectat fracmazonul?,39,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
La injectat cu steroizii 💪🤣🤣,28,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Arnold 6 luni in Vaslui 🤣🤣,26,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Bah! Nu mai fiti rai, sala nu face sigur, dar are gantere acasa 😄",65,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Hehe boy,8,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
TOT CU SER FIZIOLOGIC NE VACCINAM SI NOI ???,44,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Inca traieste ? 🤔,17,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Cred ca Iohannis a tras vre-o 20 de kg numai pe bratul stang inainte de a intra live,84,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Alcool Mona cu vata in 2021 :-))))
Incredibil!
Romania mare 💪🏼",62,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Mama ce brațe are,17,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Praful sa, se aleagă de el. De dulap zic",40,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Trebuia sa fie si Viorica acolo , sa fie circul complet.  Pâine am.",67,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Poate acum o sa vorbeasca mai repede 1x speed măcar ...,55,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Daca pica la puscarie il fac aia sef de camera...oare stie ceva, si a inceput sa se antreneze? Il face pe dragnea femeie daca pica la Rahova.",141,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"HUOOOOOOOO,PANARAMELOR!",23,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Da Afnold zwart in egari,24,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Vezi să nu..😁😂😂😂😂🤣😂🤣😂🤣,22,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"1:38 Cred că este o minciună că Iohannis sa Vaccinat, atenție la varful acului, și posibil ca acul sa intre înapoi în siringa când trb intrat în mușchi 😄",153,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
in a 2-a seringa era deja ceva. se chinuie din rasputeri sa acopere cu mana.,76,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Brate de interlop,17,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Da da ...se vaccineaza cu apa sfintita ...,42,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Oare cat baga la triceps?,25,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"S-a vaccinat Santa Klaus? Cu ce, cu vodkă? 😈",44,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Slow kw,7,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
🤣🤣🤣🤣🤣,5,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Ăla a fost vaccinul ivomec.,27,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
V ati pierdut in detalii . Nu este el e doar sosia lui :)))))),62,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
E sosia lui Johanis.....,24,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Ba daca primiti un comentariu de la nik cu un link NU apasati ca e un virus sau un ip logger,92,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"ba pt astia care zic ca i o bagat steroizi, pai ba daca ii baga steroizi se apuca drq sa darame spitalu pe acolo la ce brate avea :))))",135,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
