raw text,text_length,source
Copiii din Africa ar fi putut mânca acel telefon. 😂,51,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Mult Respect Doriane, se vede ca iti iubesti Mamica. Asta e cel mai important. Bafta in continuare.",99,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
I-ai cumparat la maicata tel second hand? Josnic Popicaaa,57,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Muream de ras atunci când ai aruncat telefonul!!!🤣🤣🤣,52,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Merita un telefon nou, parerea mea...ca e doar mama ta!!!",57,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"M-ai zgâriat pe creier cu ""pamblică"", e ""PANGLICĂ""",50,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
13:44 Lmao 🤣🤣😭😭😭😭,17,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"În loc să doneze acel telefon celor ce nu au, il distruge...👏👏👏",63,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Hâtz 🔥,6,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"ați ales rău  locul afara, ca in spatele ARO ului e o cioaca desenata 😂😂😂",73,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Jhonule Hatz :) Sa ti traiasca nepoata Jhonule si Cipi cu toata familia ! Maine face si fata mea 3 lunitze ,pe care o cheama Sofia Maria ! Hatz :) Zi frumoasa la toti !",168,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Respect,7,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Respect Hatz Jonule 🤘🤘,22,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
5:25 chelutzu be like,21,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Respect,7,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Respect,7,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
And the Oscar goes to... Mamishor!!!,36,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Frumos prank, dar telefonul ala spart era mai nou :))",53,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
'' Iarta-ma.. '' de la 11:04 zici ca e fost direct din LalaBand 😂😂,66,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"10:50 Dorian neeein
11:31 Dorian thank youu",43,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Primul,6,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Hatz Johnule,respect!",21,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
respect,7,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Mișto video. Respect.,21,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Hatzzzzz💪🔥,10,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Mama ta nu merita un telefon nou, dar cizmele de la versace pe care ai dat 1000 de euro doar pentru vlog a meritat, urat domnule dorian!!!",138,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Ai bani de te dau afara din casa si ii cumperi telefon la mana a doua.😖,71,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Respect!,8,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
A 3 A 😍😍😍,9,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"""da telefonu sa iti instalez ceva sa intepenesti "" =))",54,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Jhonuleee, ce telefon a avut mamisor ?! 
A rezistat super bine, tinand cont ca a fost aruncat de la etajul 2 pe ciment....",122,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
11:13 Vlad Alexandrescu la 30 de ani 😂,38,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Respect,7,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"11:06 dorian ""iartama""",22,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Htz Johnulee :)) II spargi telefonul , cum isi trimite ea pozele pe noul telefon ?",82,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
cica 100% neregizat🤣🤣,21,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Esti nebun pe farse 😂🌷,22,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
🤣🤣🤣🤣😅,5,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Fa un vlog când mănânci un mic cu o pâine intreaga 🤣,52,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Cool,4,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"HATZ cu BUNA DIMINEATA
HATZ cu ❤️",33,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Masina sh. Telefon sh.... Bravo ție... O mamă ai.... Și o tratezi cu sh-uri... Urât,83,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
❤❤🤗,3,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
🤣🤣🤣,3,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Hătzzzz,7,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
"Doriane, aparent nu prea ai nicio treabă când vine vorba de Mamișor, o tratezi un pic cu indiferență! De ce nu i-ai luat un telefon nou? Ori toate lucrurile se fac pentru a câștiga ? Practic ai făcut reclamă la acel site, pe spatele lui Mamișor. Cui puteai sa-i iei un telefon second-hand decât celei care ți-a dat viață, nu?Ea te acceptă așa cum ești.",352,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Hahahahahaha,12,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Genial😂😂,8,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
💕💕💕,3,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
vai !!!,7,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Ce frumos din partea ta!🙂,25,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Cum era sa-i vina telefonul in cap cuiva 😂😂😂 sa vezi show incendiar 😅,69,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
Dezavantajul de a avea un fiu actor 😂😂😂😂,40,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
👍 👌,3,https://www.youtube.com/watch?v=UZ6dXSnp_ew&ab_channel=DorianPopa
